id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_per_bedroom,bath_per_bedroom,rooms_total,sqft_per_room,bathroom_ratio
9117000170,20150505T000000,268643,4,2.25,1810,9240,2.0,0,0,3,7,1810,0,1961,0,98055,47.4362,-122.187,1660,9240,362.0,0.45,6.25,249.6551724137931,0.3103448275862069
6700390210,20140708T000000,245000,3,2.5,1600,2788,2.0,0,0,4,7,1600,0,1992,0,98031,47.4034,-122.187,1720,3605,400.0,0.625,5.5,246.15384615384616,0.38461538461538464
7212660540,20150115T000000,200000,4,2.5,1720,8638,2.0,0,0,3,8,1720,0,1994,0,98003,47.2704,-122.313,1870,7455,344.0,0.5,6.5,229.33333333333334,0.3333333333333333
8562780200,20150427T000000,352499,2,2.25,1240,705,2.0,0,0,3,7,1150,90,2009,0,98027,47.5321,-122.073,1240,750,413.3333333333333,0.75,4.25,236.1904761904762,0.42857142857142855
7760400350,20141205T000000,232000,3,2.0,1280,13356,1.0,0,0,3,7,1280,0,1994,0,98042,47.3715,-122.074,1590,8071,320.0,0.5,5.0,213.33333333333334,0.3333333333333333
464001025,20140918T000000,722500,4,3.5,2600,5100,2.0,0,0,3,8,1820,780,2003,0,98117,47.6948,-122.395,2000,6720,520.0,0.7,7.5,305.88235294117646,0.4117647058823529
3432500486,20140623T000000,299995,2,1.0,1060,7200,1.0,0,0,4,6,1060,0,1951,0,98155,47.7463,-122.315,1850,8291,353.3333333333333,0.3333333333333333,3.0,265.0,0.25
1126059095,20140526T000000,880000,3,2.0,2130,35169,1.0,0,0,4,8,2130,0,1989,0,98072,47.7489,-122.123,2860,43560,532.5,0.5,5.0,355.0,0.3333333333333333
3876500290,20150305T000000,175000,3,1.0,1070,6164,1.0,0,0,3,7,1070,0,1967,0,98001,47.3377,-122.291,1320,7920,267.5,0.25,4.0,214.0,0.2
1865400075,20140522T000000,320000,3,2.25,998,844,2.0,0,0,3,7,798,200,2007,0,98117,47.6983,-122.367,998,1110,249.5,0.5625,5.25,159.68,0.36
2558690150,20140707T000000,475000,5,2.5,2510,8050,1.0,0,0,4,7,1490,1020,1977,0,98034,47.7212,-122.172,1840,8471,418.3333333333333,0.4166666666666667,7.5,295.29411764705884,0.29411764705882354
7154200070,20141124T000000,995000,5,3.25,3970,8029,2.0,0,2,3,9,2970,1000,1979,0,98177,47.7764,-122.385,2520,8214,661.6666666666666,0.5416666666666666,8.25,429.18918918918916,0.35135135135135137
4139490210,20140730T000000,1285000,4,3.5,4080,14450,2.0,0,2,3,12,3210,870,1998,0,98006,47.5519,-122.106,4080,12114,816.0,0.7,7.5,480.0,0.4117647058823529
9264901040,20140516T000000,239900,4,2.25,1860,7000,1.0,0,0,3,8,1120,740,1979,0,98023,47.3127,-122.339,1990,8937,372.0,0.45,6.25,256.55172413793105,0.3103448275862069
4273000095,20150511T000000,340000,4,1.75,1400,8374,1.0,0,0,3,7,1400,0,1953,0,98166,47.4735,-122.344,1420,8360,280.0,0.35,5.75,207.40740740740742,0.25925925925925924
8691410310,20150213T000000,680000,4,2.5,3290,6012,2.0,0,0,3,9,3290,0,2005,0,98075,47.5961,-121.98,3210,6005,658.0,0.5,6.5,438.6666666666667,0.3333333333333333
6601200020,20150127T000000,235245,4,2.5,1954,5075,2.0,0,0,3,8,1954,0,2007,0,98001,47.2606,-122.253,1934,5000,390.8,0.5,6.5,260.53333333333336,0.3333333333333333
8663260030,20141118T000000,416000,3,2.5,1800,5372,2.0,0,0,3,8,1800,0,1987,0,98034,47.7188,-122.177,1650,6014,450.0,0.625,5.5,276.9230769230769,0.38461538461538464
7016300050,20140723T000000,420000,4,2.5,2030,8100,1.0,0,0,3,7,1150,880,1973,0,98034,47.7404,-122.186,1770,8071,406.0,0.5,6.5,270.6666666666667,0.3333333333333333
7968460240,20150211T000000,257000,3,1.75,1330,36537,1.0,0,0,4,7,1330,0,1989,0,98092,47.3126,-122.129,1650,35100,332.5,0.4375,4.75,231.30434782608697,0.30434782608695654
3918400017,20150205T000000,380000,0,0.0,1470,979,3.0,0,2,3,8,1470,0,2006,0,98133,47.7145,-122.356,1470,1399,1470.0,0.0,0.0,1470.0,0.0
4046500270,20140819T000000,399000,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,2010,0,98014,47.6907,-121.917,1860,18452,525.0,0.5,5.0,350.0,0.3333333333333333
7849202296,20150130T000000,339900,3,2.5,1470,4675,2.0,0,0,3,7,1470,0,1999,0,98065,47.5261,-121.827,1500,4385,367.5,0.625,5.5,226.15384615384616,0.38461538461538464
8585400135,20141105T000000,585000,4,1.75,1760,5356,1.0,0,0,4,7,920,840,1950,0,98115,47.679,-122.288,1680,5184,352.0,0.35,5.75,260.74074074074076,0.25925925925925924
6163900411,20141003T000000,310000,2,1.0,1050,8220,1.0,0,0,4,6,780,270,1947,0,98155,47.7598,-122.316,1340,7651,350.0,0.3333333333333333,3.0,262.5,0.25
2558640110,20140514T000000,498000,4,2.75,2270,7375,1.0,0,0,4,7,1290,980,1973,0,98034,47.7222,-122.168,1750,7760,454.0,0.55,6.75,292.9032258064516,0.3548387096774194
9834200885,20140717T000000,360000,4,2.5,2080,4080,1.0,0,0,5,7,1040,1040,1962,0,98144,47.572,-122.29,1340,4080,416.0,0.5,6.5,277.3333333333333,0.3333333333333333
3876600120,20150422T000000,265000,3,1.5,1780,10196,1.0,0,0,4,7,1270,510,1967,0,98001,47.3375,-122.291,1320,7875,445.0,0.375,4.5,323.6363636363636,0.2727272727272727
8691330260,20141208T000000,820000,4,2.75,3540,13515,2.0,0,0,3,10,3540,0,1998,0,98075,47.5945,-121.982,3540,11538,708.0,0.55,6.75,456.7741935483871,0.3548387096774194
5416500980,20140729T000000,419900,4,2.5,2750,5767,2.0,0,0,3,9,2750,0,2005,0,98038,47.3595,-122.038,2800,5376,550.0,0.5,6.5,366.6666666666667,0.3333333333333333
809002610,20140718T000000,485000,4,1.0,1150,2560,1.5,0,0,3,7,1150,0,1909,0,98109,47.6368,-122.355,1890,3000,230.0,0.2,5.0,191.66666666666666,0.16666666666666666
1778500595,20150413T000000,683000,5,1.5,1720,4000,1.5,0,0,3,7,1520,200,1925,0,98112,47.6197,-122.287,2280,4000,286.6666666666667,0.25,6.5,229.33333333333334,0.2
1220000367,20140716T000000,320000,3,2.5,1820,1855,2.0,0,0,3,8,1570,250,2008,0,98166,47.4643,-122.346,1470,6900,455.0,0.625,5.5,280.0,0.38461538461538464
7504020670,20140520T000000,598000,5,2.25,2890,12478,2.0,0,0,3,9,2890,0,1977,0,98074,47.6295,-122.052,2570,11880,481.6666666666667,0.375,7.25,350.3030303030303,0.2727272727272727
3630110370,20140624T000000,420000,3,2.5,2140,3821,2.0,0,0,3,8,2140,0,2005,0,98029,47.5541,-121.995,2860,3841,535.0,0.625,5.5,329.2307692307692,0.38461538461538464
2490200620,20140811T000000,535000,3,1.0,1660,5100,1.0,0,0,3,7,1260,400,1957,0,98136,47.5323,-122.383,1230,5100,415.0,0.25,4.0,332.0,0.2
